run_id,framework,framework_commit,task_id,task_name,replicate_id,seed,model_id,runtime_version,start_timestamp,end_timestamp,wall_clock_seconds,stopping_reason,pass_fail,expressiveness_status,files_added,files_modified,public_api_changes,dependency_edges_added,core_touched,external_propagation,normalized_propagation,propagation_radius,repair_iterations,tokens_in,tokens_out,tool_calls,manifest_path,diff_path
RUN-T01-PYD-R5,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,T01,Retry with Exponential Backoff,5,297,claude-3-7-sonnet-20250219,Python 3.14.2,1789985792.94,1789985938.95,146.01,success,pass,expressible,1,2,0,2,0,2,0.6667,1,2,9944,1398,11,research/results/manifests\RUN-T01-PYD-R5.json,research/results/diffs\RUN-T01-PYD-R5.patch
RUN-T01-OPE-R1,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,T01,Retry with Exponential Backoff,1,314,claude-3-7-sonnet-20250219,Python 3.14.2,1789985858.74,1789985918.79,60.05,success,pass,expressible,1,2,0,2,0,2,0.6667,2,3,6435,1067,5,research/results/manifests\RUN-T01-OPE-R1.json,research/results/diffs\RUN-T01-OPE-R1.patch
RUN-T01-OPE-R2,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,T01,Retry with Exponential Backoff,2,331,claude-3-7-sonnet-20250219,Python 3.14.2,1789985730.89,1789985819.24,88.35,success,pass,expressible,1,2,0,2,0,2,0.6667,2,3,9007,1994,15,research/results/manifests\RUN-T01-OPE-R2.json,research/results/diffs\RUN-T01-OPE-R2.patch
RUN-T01-OPE-R3,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,T01,Retry with Exponential Backoff,3,348,claude-3-7-sonnet-20250219,Python 3.14.2,1789985723.59,1789985872.31,148.72,success,pass,expressible,2,2,0,2,0,2,0.5,2,3,3662,1701,9,research/results/manifests\RUN-T01-OPE-R3.json,research/results/diffs\RUN-T01-OPE-R3.patch
RUN-T01-OPE-R4,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,T01,Retry with Exponential Backoff,4,365,claude-3-7-sonnet-20250219,Python 3.14.2,1789985762.7,1789985932.43,169.73,success,pass,expressible,1,2,0,2,0,2,0.6667,2,3,3987,1213,16,research/results/manifests\RUN-T01-OPE-R4.json,research/results/diffs\RUN-T01-OPE-R4.patch
RUN-T01-OPE-R5,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,T01,Retry with Exponential Backoff,5,382,claude-3-7-sonnet-20250219,Python 3.14.2,1789985886.69,1789985950.32,63.63,success,pass,expressible,1,2,0,2,0,2,0.6667,2,3,6248,1493,9,research/results/manifests\RUN-T01-OPE-R5.json,research/results/diffs\RUN-T01-OPE-R5.patch
RUN-T01-MIC-R1,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,T01,Retry with Exponential Backoff,1,399,claude-3-7-sonnet-20250219,Python 3.14.2,1789985890.98,1789986032.03,141.05,success,pass,expressible,1,0,1,0,0,0,0.0,0,2,9770,1531,12,research/results/manifests\RUN-T01-MIC-R1.json,research/results/diffs\RUN-T01-MIC-R1.patch
RUN-T01-MIC-R2,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,T01,Retry with Exponential Backoff,2,416,claude-3-7-sonnet-20250219,Python 3.14.2,1789985847.31,1789985893.36,46.05,success,pass,expressible,1,0,0,0,0,0,0.0,0,3,10755,2116,13,research/results/manifests\RUN-T01-MIC-R2.json,research/results/diffs\RUN-T01-MIC-R2.patch
RUN-T01-MIC-R3,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,T01,Retry with Exponential Backoff,3,433,claude-3-7-sonnet-20250219,Python 3.14.2,1789985858.2,1789985970.28,112.08,success,pass,expressible,2,0,0,0,0,0,0.0,0,2,7275,1996,7,research/results/manifests\RUN-T01-MIC-R3.json,research/results/diffs\RUN-T01-MIC-R3.patch
RUN-T01-MIC-R4,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,T01,Retry with Exponential Backoff,4,450,claude-3-7-sonnet-20250219,Python 3.14.2,1789985878.76,1789986051.57,172.81,success,pass,expressible,2,0,0,0,0,0,0.0,0,3,3998,1297,11,research/results/manifests\RUN-T01-MIC-R4.json,research/results/diffs\RUN-T01-MIC-R4.patch
RUN-T01-MIC-R5,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,T01,Retry with Exponential Backoff,5,467,claude-3-7-sonnet-20250219,Python 3.14.2,1789985847.54,1789985946.97,99.43,success,pass,expressible,1,0,0,0,0,0,0.0,0,3,6500,997,6,research/results/manifests\RUN-T01-MIC-R5.json,research/results/diffs\RUN-T01-MIC-R5.patch
RUN-T01-DEE-R1,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,T01,Retry with Exponential Backoff,1,484,claude-3-7-sonnet-20250219,Node v22.16.0,1789985783.65,1789985888.48,104.83,success,pass,expressible,2,3,0,3,0,3,0.6,2,4,6975,1569,10,research/results/manifests\RUN-T01-DEE-R1.json,research/results/diffs\RUN-T01-DEE-R1.patch
RUN-T01-DEE-R2,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,T01,Retry with Exponential Backoff,2,501,claude-3-7-sonnet-20250219,Node v22.16.0,1789985770.15,1789985900.03,129.88,success,pass,expressible,2,2,0,2,0,2,0.5,2,3,11024,821,9,research/results/manifests\RUN-T01-DEE-R2.json,research/results/diffs\RUN-T01-DEE-R2.patch
RUN-T01-DEE-R3,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,T01,Retry with Exponential Backoff,3,518,claude-3-7-sonnet-20250219,Node v22.16.0,1789985710.21,1789985866.57,156.36,success,pass,expressible,2,2,0,2,0,2,0.5,2,4,10994,834,17,research/results/manifests\RUN-T01-DEE-R3.json,research/results/diffs\RUN-T01-DEE-R3.patch
RUN-T01-DEE-R4,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,T01,Retry with Exponential Backoff,4,535,claude-3-7-sonnet-20250219,Node v22.16.0,1789985869.88,1789985971.44,101.56,success,pass,expressible,2,2,1,2,0,2,0.5,2,3,6066,1753,12,research/results/manifests\RUN-T01-DEE-R4.json,research/results/diffs\RUN-T01-DEE-R4.patch
RUN-T01-DEE-R5,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,T01,Retry with Exponential Backoff,5,552,claude-3-7-sonnet-20250219,Node v22.16.0,1789985893.79,1789985948.87,55.08,success,pass,expressible,2,1,1,1,0,1,0.3333,2,3,11309,2003,17,research/results/manifests\RUN-T01-DEE-R5.json,research/results/diffs\RUN-T01-DEE-R5.patch
RUN-T02-AGE-R1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T02,Structured Telemetry and Logging,1,569,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985774.2,1789985943.82,169.62,success,pass,expressible,1,0,0,0,0,0,0.0,0,2,5075,1820,12,research/results/manifests\RUN-T02-AGE-R1.json,research/results/diffs\RUN-T02-AGE-R1.patch
RUN-T02-AGE-R2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T02,Structured Telemetry and Logging,2,586,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985750.53,1789985811.35,60.82,success,pass,expressible,1,0,0,0,0,0,0.0,0,1,8387,2296,5,research/results/manifests\RUN-T02-AGE-R2.json,research/results/diffs\RUN-T02-AGE-R2.patch
RUN-T02-AGE-R3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T02,Structured Telemetry and Logging,3,603,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985865.08,1789985986.9,121.82,success,pass,expressible,1,0,0,0,0,0,0.0,0,1,11149,2148,18,research/results/manifests\RUN-T02-AGE-R3.json,research/results/diffs\RUN-T02-AGE-R3.patch
RUN-T02-AGE-R4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T02,Structured Telemetry and Logging,4,620,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985853.36,1789985966.89,113.53,success,pass,expressible,1,0,0,0,0,0,0.0,0,1,4394,1099,7,research/results/manifests\RUN-T02-AGE-R4.json,research/results/diffs\RUN-T02-AGE-R4.patch
RUN-T02-AGE-R5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T02,Structured Telemetry and Logging,5,637,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985799.83,1789985880.8,80.97,success,pass,expressible,1,0,0,0,0,0,0.0,0,1,7685,1964,11,research/results/manifests\RUN-T02-AGE-R5.json,research/results/diffs\RUN-T02-AGE-R5.patch
RUN-T02-LAN-R1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,T02,Structured Telemetry and Logging,1,654,claude-3-7-sonnet-20250219,Python 3.14.2,1789985766.07,1789985862.9,96.83,success,pass,expressible,2,1,0,1,0,1,0.3333,2,4,6095,1740,8,research/results/manifests\RUN-T02-LAN-R1.json,research/results/diffs\RUN-T02-LAN-R1.patch
RUN-T02-LAN-R2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,T02,Structured Telemetry and Logging,2,671,claude-3-7-sonnet-20250219,Python 3.14.2,1789985737.64,1789985801.03,63.39,success,pass,expressible,1,1,1,1,0,1,0.5,2,3,10000,1735,14,research/results/manifests\RUN-T02-LAN-R2.json,research/results/diffs\RUN-T02-LAN-R2.patch
RUN-T02-LAN-R3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,T02,Structured Telemetry and Logging,3,688,claude-3-7-sonnet-20250219,Python 3.14.2,1789985736.79,1789985907.11,170.32,success,pass,expressible,1,2,1,2,0,2,0.6667,2,3,4005,1730,5,research/results/manifests\RUN-T02-LAN-R3.json,research/results/diffs\RUN-T02-LAN-R3.patch
RUN-T02-LAN-R4,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,T02,Structured Telemetry and Logging,4,705,claude-3-7-sonnet-20250219,Python 3.14.2,1789985742.04,1789985788.1,46.06,success,pass,expressible,1,2,0,2,0,2,0.6667,2,3,3754,1635,14,research/results/manifests\RUN-T02-LAN-R4.json,research/results/diffs\RUN-T02-LAN-R4.patch
RUN-T02-LAN-R5,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,T02,Structured Telemetry and Logging,5,722,claude-3-7-sonnet-20250219,Python 3.14.2,1789985775.97,1789985841.44,65.47,success,pass,expressible,1,2,0,2,0,2,0.6667,2,3,7695,1161,18,research/results/manifests\RUN-T02-LAN-R5.json,research/results/diffs\RUN-T02-LAN-R5.patch
RUN-T02-PYD-R1,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,T02,Structured Telemetry and Logging,1,739,claude-3-7-sonnet-20250219,Python 3.14.2,1789985859.08,1789985997.5,138.42,success,pass,expressible,1,1,0,1,0,1,0.5,1,2,10397,2339,14,research/results/manifests\RUN-T02-PYD-R1.json,research/results/diffs\RUN-T02-PYD-R1.patch
RUN-T02-PYD-R2,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,T02,Structured Telemetry and Logging,2,756,claude-3-7-sonnet-20250219,Python 3.14.2,1789985806.21,1789985887.83,81.62,success,pass,expressible,1,2,0,2,0,2,0.6667,1,3,8680,2395,10,research/results/manifests\RUN-T02-PYD-R2.json,research/results/diffs\RUN-T02-PYD-R2.patch
RUN-T02-PYD-R3,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,T02,Structured Telemetry and Logging,3,773,claude-3-7-sonnet-20250219,Python 3.14.2,1789985863.66,1789985999.39,135.73,success,pass,expressible,1,1,0,1,0,1,0.5,1,3,5421,1700,15,research/results/manifests\RUN-T02-PYD-R3.json,research/results/diffs\RUN-T02-PYD-R3.patch
RUN-T02-PYD-R4,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,T02,Structured Telemetry and Logging,4,790,claude-3-7-sonnet-20250219,Python 3.14.2,1789985770.14,1789985933.49,163.35,success,pass,expressible,1,1,0,1,0,1,0.5,1,2,8348,879,8,research/results/manifests\RUN-T02-PYD-R4.json,research/results/diffs\RUN-T02-PYD-R4.patch
RUN-T02-PYD-R5,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,T02,Structured Telemetry and Logging,5,807,claude-3-7-sonnet-20250219,Python 3.14.2,1789985824.54,1789985883.03,58.49,success,pass,expressible,1,2,0,2,0,2,0.6667,1,2,9899,996,13,research/results/manifests\RUN-T02-PYD-R5.json,research/results/diffs\RUN-T02-PYD-R5.patch
RUN-T02-OPE-R1,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,T02,Structured Telemetry and Logging,1,824,claude-3-7-sonnet-20250219,Python 3.14.2,1789985769.08,1789985916.04,146.96,success,pass,expressible,1,2,0,2,0,2,0.6667,2,3,4582,1242,12,research/results/manifests\RUN-T02-OPE-R1.json,research/results/diffs\RUN-T02-OPE-R1.patch
RUN-T02-OPE-R2,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,T02,Structured Telemetry and Logging,2,841,claude-3-7-sonnet-20250219,Python 3.14.2,1789985782.51,1789985921.54,139.03,success,pass,expressible,2,1,0,1,0,1,0.3333,2,3,10864,1643,14,research/results/manifests\RUN-T02-OPE-R2.json,research/results/diffs\RUN-T02-OPE-R2.patch
RUN-T02-OPE-R3,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,T02,Structured Telemetry and Logging,3,858,claude-3-7-sonnet-20250219,Python 3.14.2,1789985792.23,1789985849.17,56.94,success,pass,expressible,1,2,0,2,0,2,0.6667,2,3,5921,2052,17,research/results/manifests\RUN-T02-OPE-R3.json,research/results/diffs\RUN-T02-OPE-R3.patch
RUN-T02-OPE-R4,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,T02,Structured Telemetry and Logging,4,875,claude-3-7-sonnet-20250219,Python 3.14.2,1789985797.4,1789985943.36,145.96,success,pass,expressible,1,2,1,2,0,2,0.6667,2,3,11070,1888,11,research/results/manifests\RUN-T02-OPE-R4.json,research/results/diffs\RUN-T02-OPE-R4.patch
RUN-T02-OPE-R5,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,T02,Structured Telemetry and Logging,5,892,claude-3-7-sonnet-20250219,Python 3.14.2,1789985852.85,1789985939.18,86.33,success,pass,expressible,1,1,0,1,0,1,0.5,2,3,6259,1452,16,research/results/manifests\RUN-T02-OPE-R5.json,research/results/diffs\RUN-T02-OPE-R5.patch
RUN-T02-MIC-R1,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,T02,Structured Telemetry and Logging,1,909,claude-3-7-sonnet-20250219,Python 3.14.2,1789985856.88,1789985955.54,98.66,success,pass,expressible,2,1,0,1,0,1,0.3333,1,3,11923,1799,7,research/results/manifests\RUN-T02-MIC-R1.json,research/results/diffs\RUN-T02-MIC-R1.patch
RUN-T02-MIC-R2,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,T02,Structured Telemetry and Logging,2,926,claude-3-7-sonnet-20250219,Python 3.14.2,1789985768.97,1789985929.21,160.24,success,pass,expressible,2,1,0,1,0,1,0.3333,1,3,10191,1442,14,research/results/manifests\RUN-T02-MIC-R2.json,research/results/diffs\RUN-T02-MIC-R2.patch
RUN-T02-MIC-R3,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,T02,Structured Telemetry and Logging,3,943,claude-3-7-sonnet-20250219,Python 3.14.2,1789985789.78,1789985907.02,117.24,success,pass,expressible,1,2,0,2,0,2,0.6667,1,3,8573,1374,6,research/results/manifests\RUN-T02-MIC-R3.json,research/results/diffs\RUN-T02-MIC-R3.patch
RUN-T02-MIC-R4,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,T02,Structured Telemetry and Logging,4,960,claude-3-7-sonnet-20250219,Python 3.14.2,1789985820.42,1789985888.86,68.44,success,pass,expressible,2,2,0,2,0,2,0.5,1,3,11340,1784,12,research/results/manifests\RUN-T02-MIC-R4.json,research/results/diffs\RUN-T02-MIC-R4.patch
RUN-T02-MIC-R5,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,T02,Structured Telemetry and Logging,5,977,claude-3-7-sonnet-20250219,Python 3.14.2,1789985772.0,1789985823.86,51.86,success,pass,expressible,2,1,0,1,0,1,0.3333,1,3,7831,1210,5,research/results/manifests\RUN-T02-MIC-R5.json,research/results/diffs\RUN-T02-MIC-R5.patch
RUN-T02-DEE-R1,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,T02,Structured Telemetry and Logging,1,994,claude-3-7-sonnet-20250219,Node v22.16.0,1789985708.42,1789985856.02,147.6,success,pass,expressible,2,1,0,1,0,1,0.3333,2,3,8265,2219,8,research/results/manifests\RUN-T02-DEE-R1.json,research/results/diffs\RUN-T02-DEE-R1.patch
RUN-T02-DEE-R2,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,T02,Structured Telemetry and Logging,2,1011,claude-3-7-sonnet-20250219,Node v22.16.0,1789985824.69,1789985873.84,49.15,success,pass,expressible,2,3,0,3,0,3,0.6,2,3,11123,2159,8,research/results/manifests\RUN-T02-DEE-R2.json,research/results/diffs\RUN-T02-DEE-R2.patch
RUN-T02-DEE-R3,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,T02,Structured Telemetry and Logging,3,1028,claude-3-7-sonnet-20250219,Node v22.16.0,1789985805.55,1789985903.68,98.13,success,pass,expressible,2,2,0,2,0,2,0.5,2,4,3903,852,5,research/results/manifests\RUN-T02-DEE-R3.json,research/results/diffs\RUN-T02-DEE-R3.patch
RUN-T02-DEE-R4,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,T02,Structured Telemetry and Logging,4,1045,claude-3-7-sonnet-20250219,Node v22.16.0,1789985714.15,1789985850.45,136.3,success,pass,expressible,2,4,0,4,0,4,0.6667,2,3,11301,2349,5,research/results/manifests\RUN-T02-DEE-R4.json,research/results/diffs\RUN-T02-DEE-R4.patch
RUN-T02-DEE-R5,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,T02,Structured Telemetry and Logging,5,1062,claude-3-7-sonnet-20250219,Node v22.16.0,1789985874.86,1789985967.5,92.64,success,pass,expressible,2,2,1,2,0,2,0.5,2,4,5385,2417,5,research/results/manifests\RUN-T02-DEE-R5.json,research/results/diffs\RUN-T02-DEE-R5.patch
RUN-T03-AGE-R1,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T03,Tool Execution Approval (HITL),1,1079,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985790.7,1789985900.37,109.67,success,pass,expressible,1,0,0,0,0,0,0.0,0,1,10490,1495,13,research/results/manifests\RUN-T03-AGE-R1.json,research/results/diffs\RUN-T03-AGE-R1.patch
RUN-T03-AGE-R2,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T03,Tool Execution Approval (HITL),2,1096,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985771.46,1789985941.25,169.79,success,pass,expressible,1,0,0,0,0,0,0.0,0,1,11734,2299,18,research/results/manifests\RUN-T03-AGE-R2.json,research/results/diffs\RUN-T03-AGE-R2.patch
RUN-T03-AGE-R3,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T03,Tool Execution Approval (HITL),3,1113,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985892.52,1789985965.04,72.52,success,pass,expressible,1,0,0,0,0,0,0.0,0,1,4493,2199,13,research/results/manifests\RUN-T03-AGE-R3.json,research/results/diffs\RUN-T03-AGE-R3.patch
RUN-T03-AGE-R4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T03,Tool Execution Approval (HITL),4,1130,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985789.59,1789985933.2,143.61,success,pass,expressible,1,0,0,0,0,0,0.0,0,2,6542,1258,6,research/results/manifests\RUN-T03-AGE-R4.json,research/results/diffs\RUN-T03-AGE-R4.patch
RUN-T03-AGE-R5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,T03,Tool Execution Approval (HITL),5,1147,claude-3-7-sonnet-20250219,.NET 10.0.400,1789985721.27,1789985828.2,106.93,success,pass,expressible,1,0,0,0,0,0,0.0,0,1,10983,2252,10,research/results/manifests\RUN-T03-AGE-R5.json,research/results/diffs\RUN-T03-AGE-R5.patch
RUN-T03-LAN-R1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,T03,Tool Execution Approval (HITL),1,1164,claude-3-7-sonnet-20250219,Python 3.14.2,1789985864.78,1789986023.37,158.59,success,pass,expressible,1,1,0,1,0,1,0.5,2,3,3644,1625,14,research/results/manifests\RUN-T03-LAN-R1.json,research/results/diffs\RUN-T03-LAN-R1.patch
RUN-T03-LAN-R2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,T03,Tool Execution Approval (HITL),2,1181,claude-3-7-sonnet-20250219,Python 3.14.2,1789985825.55,1789985920.58,95.03,success,pass,expressible,1,1,0,1,0,1,0.5,2,3,8765,2208,12,research/results/manifests\RUN-T03-LAN-R2.json,research/results/diffs\RUN-T03-LAN-R2.patch
RUN-T03-LAN-R3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,T03,Tool Execution Approval (HITL),3,1198,claude-3-7-sonnet-20250219,Python 3.14.2,1789985834.75,1789985930.63,95.88,success,pass,expressible,2,2,0,2,0,2,0.5,2,2,8287,1643,12,research/results/manifests\RUN-T03-LAN-R3.json,research/results/diffs\RUN-T03-LAN-R3.patch
