run_id,task_id,framework,framework_commit,model_id,replicate_id,seed,input_tokens,output_tokens,reasoning_tokens,tool_calls,compile_test_cycles,wall_clock_seconds,first_pass_success,final_correctness,defect_count,files_generated,files_modified,external_propagation,core_modifications,status
AI-T01-LAN-CLA-R5,T01,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,claude-3-7-sonnet-20250219,5,850,22617,4944,6050,15,3,213.31,0,1.0,1,2,2,2,0,completed
AI-T01-LAN-O3--R1,T01,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,o3-mini,1,873,32725,5144,8020,15,3,233.15,1,1.0,1,2,2,2,0,completed
AI-T01-LAN-O3--R2,T01,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,o3-mini,2,896,25664,4956,9173,20,4,279.36,1,1.0,2,2,2,2,0,completed
AI-T01-LAN-O3--R3,T01,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,o3-mini,3,919,27904,5699,9572,12,4,243.37,0,1.0,1,2,2,2,0,completed
AI-T01-LAN-O3--R4,T01,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,o3-mini,4,942,33259,5149,10710,9,3,233.12,0,1.0,1,2,2,2,0,completed
AI-T01-LAN-O3--R5,T01,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,o3-mini,5,965,27168,4508,7779,20,4,224.39,1,1.0,1,2,2,2,0,completed
AI-T01-PYD-CLA-R1,T01,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,claude-3-7-sonnet-20250219,1,988,20397,4419,3720,12,2,152.01,0,1.0,1,1,1,1,0,completed
AI-T01-PYD-CLA-R2,T01,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,claude-3-7-sonnet-20250219,2,1011,17564,4355,4083,12,3,162.36,1,1.0,1,1,1,1,0,completed
AI-T01-PYD-CLA-R3,T01,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,claude-3-7-sonnet-20250219,3,1034,21215,4498,5370,15,3,157.3,0,1.0,1,1,1,1,0,completed
AI-T01-PYD-CLA-R4,T01,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,claude-3-7-sonnet-20250219,4,1057,21484,4634,4857,9,3,229.65,0,1.0,1,1,1,1,0,completed
AI-T01-PYD-CLA-R5,T01,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,claude-3-7-sonnet-20250219,5,1080,21887,4307,4619,6,2,137.15,0,1.0,1,1,1,1,0,completed
AI-T01-PYD-O3--R1,T01,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,o3-mini,1,1103,26751,4440,7421,12,3,231.19,1,1.0,1,1,1,1,0,completed
AI-T01-PYD-O3--R2,T01,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,o3-mini,2,1126,21203,4386,7595,18,3,166.55,1,1.0,1,1,1,1,0,completed
AI-T01-PYD-O3--R3,T01,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,o3-mini,3,1149,21351,4602,6355,8,2,143.52,1,1.0,1,1,1,1,0,completed
AI-T01-PYD-O3--R4,T01,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,o3-mini,4,1172,22641,5522,8665,6,2,163.74,1,1.0,0,1,1,1,0,completed
AI-T01-PYD-O3--R5,T01,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,o3-mini,5,1195,25016,5042,5441,12,3,223.41,1,1.0,1,1,1,1,0,completed
AI-T01-OPE-CLA-R1,T01,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,claude-3-7-sonnet-20250219,1,1218,25834,4559,5470,18,3,203.25,1,1.0,1,1,2,2,0,completed
AI-T01-OPE-CLA-R2,T01,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,claude-3-7-sonnet-20250219,2,1241,22770,4583,3927,15,3,195.27,1,1.0,1,1,2,2,0,completed
AI-T01-OPE-CLA-R3,T01,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,claude-3-7-sonnet-20250219,3,1264,26192,4011,5521,15,3,215.49,1,1.0,1,1,2,2,0,completed
AI-T01-OPE-CLA-R4,T01,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,claude-3-7-sonnet-20250219,4,1287,23603,4526,4806,18,3,214.43,1,1.0,1,1,2,2,0,completed
AI-T01-OPE-CLA-R5,T01,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,claude-3-7-sonnet-20250219,5,1310,23990,4013,4094,12,3,181.15,0,1.0,1,1,2,2,0,completed
AI-T01-OPE-O3--R1,T01,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,o3-mini,1,1333,24782,3780,7151,9,3,205.7,1,1.0,1,1,2,2,0,completed
AI-T01-OPE-O3--R2,T01,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,o3-mini,2,1356,25203,4158,9375,6,2,135.74,1,1.0,1,1,2,2,0,completed
AI-T01-OPE-O3--R3,T01,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,o3-mini,3,1379,26246,5281,6231,12,4,204.15,0,1.0,1,1,2,2,0,completed
AI-T01-OPE-O3--R4,T01,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,o3-mini,4,1402,22589,5570,7902,15,3,196.68,1,1.0,1,1,2,2,0,completed
AI-T01-OPE-O3--R5,T01,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,o3-mini,5,1425,31072,4963,6551,9,3,200.99,1,1.0,1,1,2,2,0,completed
AI-T01-MIC-CLA-R1,T01,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,claude-3-7-sonnet-20250219,1,1448,34810,5164,5354,15,5,301.68,1,1.0,2,1,1,1,0,completed
AI-T01-MIC-CLA-R2,T01,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,claude-3-7-sonnet-20250219,2,1471,32918,5959,8367,16,4,238.23,1,1.0,2,1,1,1,0,completed
AI-T01-MIC-CLA-R3,T01,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,claude-3-7-sonnet-20250219,3,1494,32569,5659,6378,30,5,332.06,1,1.0,2,1,1,1,0,completed
AI-T01-MIC-CLA-R4,T01,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,claude-3-7-sonnet-20250219,4,1517,25542,5347,8299,16,4,215.04,1,1.0,3,1,1,1,0,completed
AI-T01-MIC-CLA-R5,T01,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,claude-3-7-sonnet-20250219,5,1540,32755,5868,7643,16,4,207.85,1,1.0,2,1,1,1,0,completed
AI-T01-MIC-O3--R1,T01,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,o3-mini,1,1563,43603,6671,8882,24,4,310.49,0,0.75,2,1,1,1,0,completed
AI-T01-MIC-O3--R2,T01,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,o3-mini,2,1586,38199,6958,9018,15,5,320.26,1,1.0,2,1,1,1,0,completed
AI-T01-MIC-O3--R3,T01,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,o3-mini,3,1609,30205,6306,7014,30,5,359.62,0,1.0,2,1,1,1,0,completed
AI-T01-MIC-O3--R4,T01,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,o3-mini,4,1632,41071,8260,9009,20,4,356.03,1,1.0,2,1,1,1,0,completed
AI-T01-MIC-O3--R5,T01,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,o3-mini,5,1655,40025,7424,9948,30,5,274.7,0,1.0,2,1,1,1,0,completed
AI-T01-DEE-CLA-R1,T01,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,claude-3-7-sonnet-20250219,1,1678,41353,6029,7479,20,4,308.47,1,1.0,1,2,2,2,0,completed
AI-T01-DEE-CLA-R2,T01,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,claude-3-7-sonnet-20250219,2,1701,36026,6621,8410,25,5,370.94,1,1.0,1,2,2,2,0,completed
AI-T01-DEE-CLA-R3,T01,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,claude-3-7-sonnet-20250219,3,1724,36685,5951,8745,24,4,290.09,1,1.0,2,2,2,2,0,completed
AI-T01-DEE-CLA-R4,T01,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,claude-3-7-sonnet-20250219,4,1747,34550,6049,8556,16,4,279.99,1,1.0,2,2,2,2,0,completed
AI-T01-DEE-CLA-R5,T01,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,claude-3-7-sonnet-20250219,5,1770,40507,6309,9262,20,4,309.75,1,1.0,1,2,2,2,0,completed
AI-T01-DEE-O3--R1,T01,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,o3-mini,1,1793,42120,6689,10786,18,6,380.52,1,1.0,3,2,2,2,0,completed
AI-T01-DEE-O3--R2,T01,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,o3-mini,2,1816,41544,6196,13033,12,4,219.41,1,1.0,3,2,2,2,0,completed
AI-T01-DEE-O3--R3,T01,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,o3-mini,3,1839,47696,5994,8685,12,4,249.11,1,1.0,2,2,2,2,0,completed
AI-T01-DEE-O3--R4,T01,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,o3-mini,4,1862,39440,7102,7796,25,5,272.52,0,1.0,2,2,2,2,0,completed
AI-T01-DEE-O3--R5,T01,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,o3-mini,5,1885,30269,6779,11895,36,6,397.87,0,1.0,2,2,2,2,0,completed
AI-T02-AGE-CLA-R1,T02,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,1,1908,14084,1798,3306,3,1,73.49,1,1.0,0,1,0,0,0,completed
AI-T02-AGE-CLA-R2,T02,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,2,1931,14186,2403,3070,4,1,80.77,1,1.0,0,1,0,0,0,completed
AI-T02-AGE-CLA-R3,T02,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,3,1954,11458,2011,3269,8,2,125.53,1,1.0,0,1,0,0,0,completed
AI-T02-AGE-CLA-R4,T02,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,4,1977,11849,2218,3714,5,1,86.82,1,1.0,0,1,0,0,0,completed
AI-T02-AGE-CLA-R5,T02,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,5,2000,12752,1813,3425,4,1,73.2,1,1.0,1,1,0,0,0,completed
AI-T02-AGE-O3--R1,T02,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,o3-mini,1,2023,13410,2905,4338,3,1,97.03,1,1.0,1,1,0,0,0,completed
AI-T02-AGE-O3--R2,T02,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,o3-mini,2,2046,14433,2725,5112,6,1,84.97,1,1.0,0,1,0,0,0,completed
AI-T02-AGE-O3--R3,T02,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,o3-mini,3,2069,15248,2522,4583,5,1,86.64,1,1.0,1,1,0,0,0,completed
AI-T02-AGE-O3--R4,T02,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,o3-mini,4,2092,11108,3084,4027,3,1,93.53,1,1.0,0,1,0,0,0,completed
AI-T02-AGE-O3--R5,T02,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,o3-mini,5,2115,13657,2043,4807,10,2,136.2,1,1.0,0,1,0,0,0,completed
AI-T02-LAN-CLA-R1,T02,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,claude-3-7-sonnet-20250219,1,2138,23438,4751,5536,12,3,193.99,1,1.0,1,2,2,2,0,completed
AI-T02-LAN-CLA-R2,T02,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,claude-3-7-sonnet-20250219,2,2161,29074,4358,4311,16,4,209.2,0,1.0,2,2,2,2,0,completed
AI-T02-LAN-CLA-R3,T02,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,claude-3-7-sonnet-20250219,3,2184,29381,4202,6031,12,4,259.16,1,1.0,1,2,2,2,0,completed
AI-T02-LAN-CLA-R4,T02,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,claude-3-7-sonnet-20250219,4,2207,25051,4940,4539,15,3,198.3,0,0.75,1,2,2,2,0,completed
AI-T02-LAN-CLA-R5,T02,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,claude-3-7-sonnet-20250219,5,2230,25961,4673,7463,20,4,216.8,1,1.0,1,2,2,2,0,completed
AI-T02-LAN-O3--R1,T02,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,o3-mini,1,2253,24396,5638,7541,12,4,267.9,1,1.0,2,2,2,2,0,completed
AI-T02-LAN-O3--R2,T02,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,o3-mini,2,2276,27545,6364,6676,24,4,235.57,1,1.0,2,2,2,2,0,completed
AI-T02-LAN-O3--R3,T02,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,o3-mini,3,2299,29221,5395,7329,20,4,289.16,1,1.0,2,2,2,2,0,completed
AI-T02-LAN-O3--R4,T02,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,o3-mini,4,2322,28667,5425,5947,20,4,257.6,0,1.0,1,2,2,2,0,completed
AI-T02-LAN-O3--R5,T02,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,o3-mini,5,2345,32333,6088,7327,18,3,246.83,0,0.75,1,2,2,2,0,completed
AI-T02-PYD-CLA-R1,T02,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,claude-3-7-sonnet-20250219,1,2368,19471,4451,4845,24,4,223.59,1,1.0,1,1,1,1,0,completed
AI-T02-PYD-CLA-R2,T02,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,claude-3-7-sonnet-20250219,2,2391,18829,3847,4044,15,3,157.64,1,1.0,1,1,1,1,0,completed
AI-T02-PYD-CLA-R3,T02,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,claude-3-7-sonnet-20250219,3,2414,20627,4384,4266,12,3,179.88,0,0.75,0,1,1,1,0,completed
AI-T02-PYD-CLA-R4,T02,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,claude-3-7-sonnet-20250219,4,2437,25628,3797,5200,10,2,136.1,1,1.0,1,1,1,1,0,completed
AI-T02-PYD-CLA-R5,T02,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,claude-3-7-sonnet-20250219,5,2460,25112,4156,4892,12,3,197.82,0,1.0,1,1,1,1,0,completed
AI-T02-PYD-O3--R1,T02,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,o3-mini,1,2483,27048,5072,6360,12,3,191.91,1,1.0,1,1,1,1,0,completed
AI-T02-PYD-O3--R2,T02,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,o3-mini,2,2506,29751,4167,8249,15,3,177.63,0,1.0,1,1,1,1,0,completed
AI-T02-PYD-O3--R3,T02,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,o3-mini,3,2529,23034,4007,6012,18,3,165.14,1,1.0,1,1,1,1,0,completed
AI-T02-PYD-O3--R4,T02,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,o3-mini,4,2552,23457,4484,5531,12,3,170.12,1,1.0,1,1,1,1,0,completed
AI-T02-PYD-O3--R5,T02,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,o3-mini,5,2575,26627,5068,8597,24,4,207.51,1,1.0,2,1,1,1,0,completed
AI-T02-OPE-CLA-R1,T02,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,claude-3-7-sonnet-20250219,1,2598,23855,4041,5880,12,3,176.7,0,1.0,1,1,2,2,0,completed
AI-T02-OPE-CLA-R2,T02,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,claude-3-7-sonnet-20250219,2,2621,20855,4618,5487,12,2,183.74,1,1.0,2,1,2,2,0,completed
AI-T02-OPE-CLA-R3,T02,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,claude-3-7-sonnet-20250219,3,2644,19435,4522,5335,9,3,224.64,0,1.0,1,1,2,2,0,completed
AI-T02-OPE-CLA-R4,T02,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,claude-3-7-sonnet-20250219,4,2667,25314,4495,4980,9,3,176.49,1,1.0,1,1,2,2,0,completed
AI-T02-OPE-CLA-R5,T02,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,claude-3-7-sonnet-20250219,5,2690,20587,4539,4302,18,3,234.15,1,1.0,1,1,2,2,0,completed
AI-T02-OPE-O3--R1,T02,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,o3-mini,1,2713,28448,3484,8009,9,3,144.88,1,1.0,2,1,2,2,0,completed
AI-T02-OPE-O3--R2,T02,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,o3-mini,2,2736,29677,4898,7613,15,3,187.88,1,1.0,1,1,2,2,0,completed
AI-T02-OPE-O3--R3,T02,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,o3-mini,3,2759,23006,4744,6887,18,3,219.52,1,1.0,1,1,2,2,0,completed
AI-T02-OPE-O3--R4,T02,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,o3-mini,4,2782,28970,4380,6260,10,2,160.44,1,1.0,0,1,2,2,0,completed
AI-T02-OPE-O3--R5,T02,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,o3-mini,5,2805,25039,5204,5081,9,3,176.71,1,1.0,1,1,2,2,0,completed
AI-T02-MIC-CLA-R1,T02,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,claude-3-7-sonnet-20250219,1,2828,29648,4926,7190,16,4,220.96,1,1.0,2,1,1,1,0,completed
AI-T02-MIC-CLA-R2,T02,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,claude-3-7-sonnet-20250219,2,2851,32010,5202,7873,12,3,211.05,1,1.0,1,1,1,1,0,completed
AI-T02-MIC-CLA-R3,T02,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,claude-3-7-sonnet-20250219,3,2874,33695,4824,6295,20,5,285.96,1,1.0,2,1,1,1,0,completed
AI-T02-MIC-CLA-R4,T02,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,claude-3-7-sonnet-20250219,4,2897,33151,5985,5740,20,5,275.26,1,1.0,2,1,1,1,0,completed
AI-T02-MIC-CLA-R5,T02,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,claude-3-7-sonnet-20250219,5,2920,32841,5231,7863,15,5,225.41,0,0.75,2,1,1,1,0,completed
AI-T02-MIC-O3--R1,T02,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,o3-mini,1,2943,41050,6725,11339,25,5,356.17,0,1.0,2,1,1,1,0,completed
AI-T02-MIC-O3--R2,T02,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,o3-mini,2,2966,42143,5571,9852,25,5,244.05,0,1.0,3,1,1,1,0,completed
AI-T02-MIC-O3--R3,T02,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,o3-mini,3,2989,38082,6847,12289,24,4,322.47,0,1.0,2,1,1,1,0,completed
AI-T02-MIC-O3--R4,T02,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,o3-mini,4,3012,35868,6298,10384,16,4,310.75,1,1.0,2,1,1,1,0,completed
AI-T02-MIC-O3--R5,T02,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,o3-mini,5,3035,36174,5856,8081,30,5,337.36,0,1.0,2,1,1,1,0,completed
AI-T02-DEE-CLA-R1,T02,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,claude-3-7-sonnet-20250219,1,3058,40224,6897,7216,30,5,326.48,0,1.0,2,2,2,2,0,completed
AI-T02-DEE-CLA-R2,T02,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,claude-3-7-sonnet-20250219,2,3081,39381,6137,7925,16,4,214.3,1,1.0,2,2,2,2,0,completed
AI-T02-DEE-CLA-R3,T02,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,claude-3-7-sonnet-20250219,3,3104,38319,6737,6459,20,4,258.45,1,1.0,2,2,2,2,0,completed
AI-T02-DEE-CLA-R4,T02,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,claude-3-7-sonnet-20250219,4,3127,39049,7266,8019,25,5,344.02,0,1.0,2,2,2,2,0,completed
AI-T02-DEE-CLA-R5,T02,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,claude-3-7-sonnet-20250219,5,3150,41991,5874,7605,12,4,206.65,0,1.0,2,2,2,2,0,completed
AI-T02-DEE-O3--R1,T02,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,o3-mini,1,3173,35690,5159,12302,12,4,207.07,0,1.0,3,2,2,2,0,completed
AI-T02-DEE-O3--R2,T02,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,o3-mini,2,3196,42903,8295,10834,15,5,362.9,0,0.75,2,2,2,2,0,completed
AI-T02-DEE-O3--R3,T02,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,o3-mini,3,3219,48970,7555,12365,15,5,269.61,1,1.0,3,2,2,2,0,completed
AI-T02-DEE-O3--R4,T02,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,o3-mini,4,3242,36847,6418,11391,24,4,222.85,1,1.0,2,2,2,2,0,completed
AI-T02-DEE-O3--R5,T02,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,o3-mini,5,3265,48498,5938,10594,15,5,300.34,0,1.0,2,2,2,2,0,completed
AI-T03-AGE-CLA-R1,T03,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,1,3288,14043,2180,3456,12,2,124.51,1,1.0,0,1,0,0,0,completed
AI-T03-AGE-CLA-R2,T03,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,2,3311,12739,2054,2538,4,1,69.79,1,1.0,0,1,0,0,0,completed
AI-T03-AGE-CLA-R3,T03,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,3,3334,13901,2383,2701,4,1,91.84,1,1.0,0,1,0,0,0,completed
AI-T03-AGE-CLA-R4,T03,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,4,3357,14752,2147,2417,10,2,123.57,1,1.0,0,1,0,0,0,completed
AI-T03-AGE-CLA-R5,T03,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,claude-3-7-sonnet-20250219,5,3380,12715,2317,3566,9,3,116.8,1,1.0,1,1,0,0,0,completed
AI-T03-AGE-O3--R1,T03,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,o3-mini,1,3403,14376,2395,3934,4,1,81.18,1,1.0,0,1,0,0,0,completed
AI-T03-AGE-O3--R2,T03,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,o3-mini,2,3426,12138,3160,4048,18,3,166.14,1,1.0,1,1,0,0,0,completed
AI-T03-AGE-O3--R3,T03,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,o3-mini,3,3449,15678,2637,5078,8,2,99.8,1,1.0,1,1,0,0,0,completed
