sequence_id,framework,framework_commit,sequence_replicate,phase_id,phase_name,phase_category,files_added,files_modified,core_files_modified,types_added,types_modified,invasiveness_ratio,dependency_edges_added,pass_fail,repair_effort_seconds,is_external_stress_test
SEQ-AGE-S5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,5,5,Chat Persistence,remembering,1,0,0,1,0,0.0,1,pass,38.16,False
SEQ-AGE-S5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,5,6,Context Compaction,remembering,1,0,0,1,0,0.0,1,pass,22.28,False
SEQ-AGE-S5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,5,7,Structured Telemetry,cross-cutting,1,0,0,1,0,0.0,1,pass,30.35,False
SEQ-AGE-S5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,5,8,Controlled Interruption,execution,1,0,0,1,0,0.0,1,pass,23.65,False
SEQ-AGE-S5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,5,9,Provider Substitution,reasoning,1,0,0,1,0,0.0,1,pass,24.56,False
SEQ-AGE-S5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,5,10,Multi-Agent Composition,external-stress,2,1,0,2,0,0.3333,1,pass,24.67,True
SEQ-LAN-S1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,1,1,Model Substitution,cross-cutting,1,1,0,1,1,0.5,2,pass,78.92,False
SEQ-LAN-S1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,1,2,Additional Tool,acting,1,1,0,1,1,0.5,2,pass,61.95,False
SEQ-LAN-S1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,1,3,Retry with Backoff,cross-cutting,1,1,0,1,1,0.5,2,pass,48.32,False
SEQ-LAN-S1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,1,4,HITL Approval,cross-cutting,1,1,0,2,1,0.5,2,pass,51.66,False
SEQ-LAN-S1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,1,5,Chat Persistence,remembering,1,2,0,2,1,0.6667,3,pass,83.24,False
SEQ-LAN-S1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,1,6,Context Compaction,remembering,1,2,0,1,1,0.6667,2,pass,75.97,False
SEQ-LAN-S1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,1,7,Structured Telemetry,cross-cutting,1,1,0,1,1,0.5,2,pass,41.81,False
SEQ-LAN-S1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,1,8,Controlled Interruption,execution,1,1,0,1,1,0.5,2,pass,97.81,False
SEQ-LAN-S1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,1,9,Provider Substitution,reasoning,1,1,0,1,1,0.5,2,pass,105.91,False
SEQ-LAN-S1,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,1,10,Multi-Agent Composition,external-stress,3,3,0,2,1,0.5,3,pass,60.01,True
SEQ-LAN-S2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,2,1,Model Substitution,cross-cutting,1,1,0,1,1,0.5,2,pass,88.9,False
SEQ-LAN-S2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,2,2,Additional Tool,acting,1,1,0,1,1,0.5,2,pass,43.28,False
SEQ-LAN-S2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,2,3,Retry with Backoff,cross-cutting,1,1,0,1,1,0.5,2,pass,68.04,False
SEQ-LAN-S2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,2,4,HITL Approval,cross-cutting,1,1,0,2,1,0.5,2,pass,69.39,False
SEQ-LAN-S2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,2,5,Chat Persistence,remembering,1,2,0,2,1,0.6667,3,pass,83.55,False
SEQ-LAN-S2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,2,6,Context Compaction,remembering,1,2,0,1,1,0.6667,2,pass,86.43,False
SEQ-LAN-S2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,2,7,Structured Telemetry,cross-cutting,1,1,0,1,1,0.5,2,pass,69.28,False
SEQ-LAN-S2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,2,8,Controlled Interruption,execution,1,1,0,1,1,0.5,2,pass,89.48,False
SEQ-LAN-S2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,2,9,Provider Substitution,reasoning,1,1,0,1,1,0.5,2,pass,66.31,False
SEQ-LAN-S2,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,2,10,Multi-Agent Composition,external-stress,3,3,0,2,1,0.5,3,pass,91.75,True
SEQ-LAN-S3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,3,1,Model Substitution,cross-cutting,1,1,0,1,1,0.5,2,pass,68.69,False
SEQ-LAN-S3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,3,2,Additional Tool,acting,1,1,0,1,1,0.5,2,pass,69.97,False
SEQ-LAN-S3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,3,3,Retry with Backoff,cross-cutting,1,1,0,1,1,0.5,2,pass,92.17,False
SEQ-LAN-S3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,3,4,HITL Approval,cross-cutting,1,1,0,2,1,0.5,2,pass,79.5,False
SEQ-LAN-S3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,3,5,Chat Persistence,remembering,1,2,0,2,1,0.6667,3,pass,83.75,False
SEQ-LAN-S3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,3,6,Context Compaction,remembering,1,2,0,1,1,0.6667,2,pass,63.3,False
SEQ-LAN-S3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,3,7,Structured Telemetry,cross-cutting,1,1,0,1,1,0.5,2,pass,76.56,False
SEQ-LAN-S3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,3,8,Controlled Interruption,execution,1,1,0,1,1,0.5,2,pass,70.88,False
SEQ-LAN-S3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,3,9,Provider Substitution,reasoning,1,1,0,1,1,0.5,2,pass,40.56,False
SEQ-LAN-S3,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,3,10,Multi-Agent Composition,external-stress,3,3,0,2,1,0.5,3,pass,49.17,True
SEQ-LAN-S4,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,4,1,Model Substitution,cross-cutting,1,1,0,1,1,0.5,2,pass,104.53,False
SEQ-LAN-S4,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,4,2,Additional Tool,acting,1,1,0,1,1,0.5,2,pass,63.1,False
SEQ-LAN-S4,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,4,3,Retry with Backoff,cross-cutting,1,1,0,1,1,0.5,2,pass,79.52,False
SEQ-LAN-S4,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,4,4,HITL Approval,cross-cutting,1,1,0,2,1,0.5,2,pass,78.33,False
SEQ-LAN-S4,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,4,5,Chat Persistence,remembering,1,2,0,2,1,0.6667,3,pass,99.04,False
SEQ-LAN-S4,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,4,6,Context Compaction,remembering,1,2,0,1,1,0.6667,2,pass,70.64,False
SEQ-LAN-S4,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,4,7,Structured Telemetry,cross-cutting,1,1,0,1,1,0.5,2,pass,92.24,False
SEQ-LAN-S4,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,4,8,Controlled Interruption,execution,1,1,0,1,1,0.5,2,pass,96.14,False
SEQ-LAN-S4,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,4,9,Provider Substitution,reasoning,1,1,0,1,1,0.5,2,pass,82.68,False
SEQ-LAN-S4,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,4,10,Multi-Agent Composition,external-stress,3,3,0,2,1,0.5,3,pass,58.4,True
SEQ-LAN-S5,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,5,1,Model Substitution,cross-cutting,1,1,0,1,1,0.5,2,pass,55.15,False
SEQ-LAN-S5,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,5,2,Additional Tool,acting,1,1,0,1,1,0.5,2,pass,62.89,False
SEQ-LAN-S5,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,5,3,Retry with Backoff,cross-cutting,1,1,0,1,1,0.5,2,pass,82.27,False
SEQ-LAN-S5,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,5,4,HITL Approval,cross-cutting,1,1,0,2,1,0.5,2,pass,56.38,False
SEQ-LAN-S5,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,5,5,Chat Persistence,remembering,1,2,0,2,1,0.6667,3,pass,102.6,False
SEQ-LAN-S5,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,5,6,Context Compaction,remembering,1,2,0,1,1,0.6667,2,pass,68.19,False
SEQ-LAN-S5,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,5,7,Structured Telemetry,cross-cutting,1,1,0,1,1,0.5,2,pass,54.67,False
SEQ-LAN-S5,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,5,8,Controlled Interruption,execution,1,1,0,1,1,0.5,2,pass,40.77,False
SEQ-LAN-S5,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,5,9,Provider Substitution,reasoning,1,1,0,1,1,0.5,2,pass,104.78,False
SEQ-LAN-S5,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,5,10,Multi-Agent Composition,external-stress,3,3,0,2,1,0.5,3,pass,87.49,True
SEQ-PYD-S1,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,1,1,Model Substitution,cross-cutting,1,1,0,1,1,0.5,2,pass,56.98,False
SEQ-PYD-S1,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,1,2,Additional Tool,acting,1,1,0,1,1,0.5,2,pass,61.71,False
SEQ-PYD-S1,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,1,3,Retry with Backoff,cross-cutting,1,1,0,1,1,0.5,2,pass,62.04,False
SEQ-PYD-S1,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,1,4,HITL Approval,cross-cutting,1,2,0,1,1,0.6667,2,pass,60.38,False
SEQ-PYD-S1,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,1,5,Chat Persistence,remembering,1,2,0,1,1,0.6667,2,pass,63.52,False
SEQ-PYD-S1,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,1,6,Context Compaction,remembering,1,2,0,1,1,0.6667,2,pass,43.61,False
SEQ-PYD-S1,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,1,7,Structured Telemetry,cross-cutting,1,1,0,1,1,0.5,2,pass,80.6,False
SEQ-PYD-S1,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,1,8,Controlled Interruption,execution,1,2,0,1,1,0.6667,2,pass,69.3,False
SEQ-PYD-S1,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,1,9,Provider Substitution,reasoning,1,1,0,1,1,0.5,2,pass,76.46,False
SEQ-PYD-S1,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,1,10,Multi-Agent Composition,external-stress,2,2,0,1,1,0.5,2,pass,54.69,True
SEQ-PYD-S2,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,2,1,Model Substitution,cross-cutting,1,1,0,1,1,0.5,2,pass,55.18,False
SEQ-PYD-S2,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,2,2,Additional Tool,acting,1,1,0,1,1,0.5,2,pass,38.23,False
SEQ-PYD-S2,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,2,3,Retry with Backoff,cross-cutting,1,1,0,1,1,0.5,2,pass,57.36,False
SEQ-PYD-S2,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,2,4,HITL Approval,cross-cutting,1,2,0,1,1,0.6667,2,pass,41.71,False
SEQ-PYD-S2,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,2,5,Chat Persistence,remembering,1,2,0,1,1,0.6667,2,pass,85.25,False
SEQ-PYD-S2,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,2,6,Context Compaction,remembering,1,2,0,1,1,0.6667,2,pass,52.05,False
SEQ-PYD-S2,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,2,7,Structured Telemetry,cross-cutting,1,1,0,1,1,0.5,2,pass,43.93,False
SEQ-PYD-S2,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,2,8,Controlled Interruption,execution,1,2,0,1,1,0.6667,2,pass,70.34,False
SEQ-PYD-S2,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,2,9,Provider Substitution,reasoning,1,1,0,1,1,0.5,2,pass,88.79,False
SEQ-PYD-S2,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,2,10,Multi-Agent Composition,external-stress,2,2,0,1,1,0.5,2,pass,89.9,True
SEQ-PYD-S3,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,3,1,Model Substitution,cross-cutting,1,1,0,1,1,0.5,2,pass,62.78,False
SEQ-PYD-S3,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,3,2,Additional Tool,acting,1,1,0,1,1,0.5,2,pass,69.25,False
SEQ-PYD-S3,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,3,3,Retry with Backoff,cross-cutting,1,1,0,1,1,0.5,2,pass,83.34,False
SEQ-PYD-S3,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,3,4,HITL Approval,cross-cutting,1,2,0,1,1,0.6667,2,pass,80.15,False
SEQ-PYD-S3,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,3,5,Chat Persistence,remembering,1,2,0,1,1,0.6667,2,pass,46.49,False
SEQ-PYD-S3,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,3,6,Context Compaction,remembering,1,2,0,1,1,0.6667,2,pass,44.13,False
SEQ-PYD-S3,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,3,7,Structured Telemetry,cross-cutting,1,1,0,1,1,0.5,2,pass,79.75,False
SEQ-PYD-S3,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,3,8,Controlled Interruption,execution,1,2,0,1,1,0.6667,2,pass,76.26,False
SEQ-PYD-S3,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,3,9,Provider Substitution,reasoning,1,1,0,1,1,0.5,2,pass,71.92,False
SEQ-PYD-S3,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,3,10,Multi-Agent Composition,external-stress,2,2,0,1,1,0.5,2,pass,93.82,True
SEQ-PYD-S4,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,4,1,Model Substitution,cross-cutting,1,1,0,1,1,0.5,2,pass,43.45,False
SEQ-PYD-S4,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,4,2,Additional Tool,acting,1,1,0,1,1,0.5,2,pass,60.14,False
SEQ-PYD-S4,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,4,3,Retry with Backoff,cross-cutting,1,1,0,1,1,0.5,2,pass,76.51,False
SEQ-PYD-S4,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,4,4,HITL Approval,cross-cutting,1,2,0,1,1,0.6667,2,pass,70.19,False
SEQ-PYD-S4,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,4,5,Chat Persistence,remembering,1,2,0,1,1,0.6667,2,pass,59.26,False
SEQ-PYD-S4,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,4,6,Context Compaction,remembering,1,2,0,1,1,0.6667,2,pass,42.35,False
SEQ-PYD-S4,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,4,7,Structured Telemetry,cross-cutting,1,1,0,1,1,0.5,2,pass,48.97,False
SEQ-PYD-S4,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,4,8,Controlled Interruption,execution,1,2,0,1,1,0.6667,2,pass,41.48,False
SEQ-PYD-S4,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,4,9,Provider Substitution,reasoning,1,1,0,1,1,0.5,2,pass,85.02,False
SEQ-PYD-S4,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,4,10,Multi-Agent Composition,external-stress,2,2,0,1,1,0.5,2,pass,62.93,True
SEQ-PYD-S5,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,5,1,Model Substitution,cross-cutting,1,1,0,1,1,0.5,2,pass,82.8,False
SEQ-PYD-S5,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,5,2,Additional Tool,acting,1,1,0,1,1,0.5,2,pass,64.13,False
SEQ-PYD-S5,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,5,3,Retry with Backoff,cross-cutting,1,1,0,1,1,0.5,2,pass,90.29,False
SEQ-PYD-S5,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,5,4,HITL Approval,cross-cutting,1,2,0,1,1,0.6667,2,pass,53.53,False
SEQ-PYD-S5,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,5,5,Chat Persistence,remembering,1,2,0,1,1,0.6667,2,pass,94.28,False
SEQ-PYD-S5,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,5,6,Context Compaction,remembering,1,2,0,1,1,0.6667,2,pass,89.66,False
SEQ-PYD-S5,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,5,7,Structured Telemetry,cross-cutting,1,1,0,1,1,0.5,2,pass,60.95,False
SEQ-PYD-S5,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,5,8,Controlled Interruption,execution,1,2,0,1,1,0.6667,2,pass,58.82,False
SEQ-PYD-S5,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,5,9,Provider Substitution,reasoning,1,1,0,1,1,0.5,2,pass,65.7,False
SEQ-PYD-S5,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,5,10,Multi-Agent Composition,external-stress,2,2,0,1,1,0.5,2,pass,80.71,True
SEQ-OPE-S1,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,1,1,Model Substitution,cross-cutting,1,1,0,1,1,0.5,2,pass,40.58,False
SEQ-OPE-S1,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,1,2,Additional Tool,acting,1,1,0,1,1,0.5,2,pass,43.54,False
SEQ-OPE-S1,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,1,3,Retry with Backoff,cross-cutting,1,2,0,1,1,0.6667,2,pass,58.45,False
SEQ-OPE-S1,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,1,4,HITL Approval,cross-cutting,1,2,0,1,1,0.6667,2,pass,85.08,False
SEQ-OPE-S1,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,1,5,Chat Persistence,remembering,1,2,0,1,1,0.6667,2,pass,64.52,False
SEQ-OPE-S1,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,1,6,Context Compaction,remembering,1,2,0,1,1,0.6667,2,pass,49.61,False
