fault_run_id,fault_id,framework,framework_commit,target_concern,architecture_seam_exists,expressiveness_mismatch,concern_leakage,unrelated_tests_failed,files_modified_to_fix,core_modified_in_fix,repair_iterations,pre_fix_test_pass_rate,post_fix_test_pass_rate,repair_wall_clock_seconds,status
FAULT-FLT-3-OPE,FLT-3,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,Persistence,True,False,1,2,2,0,3,0.5,1.0,97.77,leaked_to_runner
FAULT-FLT-3-MIC,FLT-3,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,Persistence,True,False,1,2,2,0,3,0.6,1.0,74.82,partially_isolated
FAULT-FLT-3-DEE,FLT-3,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,Persistence,True,False,1,3,2,0,4,0.45,1.0,157.59,service_leakage
FAULT-FLT-4-AGE,FLT-4,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,Semantic Caching,True,False,0,0,1,0,1,0.8,1.0,51.44,isolated_repair
FAULT-FLT-4-LAN,FLT-4,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,Semantic Caching,True,False,0,1,1,0,2,0.4,1.0,84.34,leaked_to_graph
FAULT-FLT-4-PYD,FLT-4,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,Semantic Caching,True,False,0,1,1,0,2,0.5,1.0,111.3,leaked_to_runner
FAULT-FLT-4-OPE,FLT-4,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,Semantic Caching,True,False,0,1,1,0,2,0.5,1.0,76.52,leaked_to_runner
FAULT-FLT-4-MIC,FLT-4,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,Semantic Caching,True,False,0,1,1,0,1,0.6,1.0,92.54,partially_isolated
FAULT-FLT-4-DEE,FLT-4,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,Semantic Caching,True,False,0,4,1,0,2,0.45,1.0,92.26,isolated_plugin
FAULT-FLT-5-AGE,FLT-5,AgentCore,b11d0e489f08e1cc73284a1088e56d3720386597,Input Guardrails,True,False,0,0,1,0,1,0.8,1.0,42.26,isolated_repair
FAULT-FLT-5-LAN,FLT-5,LangGraph,644815f9e5bc52ad8f7a5227a456227e9c3e639b,Input Guardrails,True,False,1,2,2,0,4,0.4,1.0,116.33,leaked_to_graph
FAULT-FLT-5-PYD,FLT-5,PydanticAI,c4898abb54dc25ae6f6aef208a4c0661b30a455e,Input Guardrails,True,False,1,3,2,0,2,0.5,1.0,57.47,leaked_to_runner
FAULT-FLT-5-OPE,FLT-5,OpenAI Agents SDK,fdf21db62c303a3db54b0dfbee82de2141fa2799,Input Guardrails,True,False,1,2,2,0,2,0.5,1.0,55.98,leaked_to_runner
FAULT-FLT-5-MIC,FLT-5,Microsoft Agent Framework,703fbce285ee0f026e5effcadfb9e65aab7f5d84,Input Guardrails,True,False,0,1,1,0,1,0.6,1.0,75.9,partially_isolated
FAULT-FLT-5-DEE,FLT-5,DeepSeek Harness,ddefc45fbc7f8e46dd73185e68295696d1297887,Input Guardrails,True,False,1,1,2,0,3,0.45,1.0,113.53,service_leakage
